order_item_id,order_id,product_id,quantity
ORD_ITEM01,ORD_ID01,P_ID07,5
ORD_ITEM02,ORD_ID02,P_ID49,3
ORD_ITEM03,ORD_ID03,P_ID37,9
ORD_ITEM04,ORD_ID04,P_ID29,4
ORD_ITEM05,ORD_ID05,P_ID11,1
ORD_ITEM06,ORD_ID06,P_ID16,9
ORD_ITEM07,ORD_ID07,P_ID12,3
ORD_ITEM08,ORD_ID08,P_ID19,10
ORD_ITEM09,ORD_ID09,P_ID15,3
ORD_ITEM10,ORD_ID10,P_ID15,7
ORD_ITEM11,ORD_ID11,P_ID32,6
ORD_ITEM12,ORD_ID12,P_ID14,8
ORD_ITEM13,ORD_ID13,P_ID20,2
ORD_ITEM14,ORD_ID14,P_ID45,4
ORD_ITEM15,ORD_ID15,P_ID24,6
ORD_ITEM16,ORD_ID16,P_ID10,10
ORD_ITEM17,ORD_ID17,P_ID30,3
ORD_ITEM18,ORD_ID18,P_ID50,10
ORD_ITEM19,ORD_ID19,P_ID17,3
ORD_ITEM20,ORD_ID20,P_ID48,6
ORD_ITEM21,ORD_ID21,P_ID36,5
ORD_ITEM22,ORD_ID22,P_ID50,9
ORD_ITEM23,ORD_ID23,P_ID44,8
ORD_ITEM24,ORD_ID24,P_ID05,2
ORD_ITEM25,ORD_ID25,P_ID08,6
ORD_ITEM26,ORD_ID26,P_ID32,1
ORD_ITEM27,ORD_ID27,P_ID33,2
ORD_ITEM28,ORD_ID28,P_ID16,7
ORD_ITEM29,ORD_ID29,P_ID38,8
ORD_ITEM30,ORD_ID30,P_ID33,1
ORD_ITEM31,ORD_ID31,P_ID08,8
ORD_ITEM32,ORD_ID32,P_ID07,2
ORD_ITEM33,ORD_ID33,P_ID38,7
ORD_ITEM34,ORD_ID34,P_ID30,8
ORD_ITEM35,ORD_ID35,P_ID26,7
ORD_ITEM36,ORD_ID36,P_ID17,2
ORD_ITEM37,ORD_ID37,P_ID24,9
ORD_ITEM38,ORD_ID38,P_ID02,6
ORD_ITEM39,ORD_ID39,P_ID01,9
ORD_ITEM40,ORD_ID40,P_ID14,3
ORD_ITEM41,ORD_ID41,P_ID10,1
ORD_ITEM42,ORD_ID42,P_ID43,7
ORD_ITEM43,ORD_ID43,P_ID48,3
ORD_ITEM44,ORD_ID44,P_ID12,9
ORD_ITEM45,ORD_ID45,P_ID13,6
ORD_ITEM46,ORD_ID46,P_ID04,2
ORD_ITEM47,ORD_ID47,P_ID24,8
ORD_ITEM48,ORD_ID48,P_ID37,9
ORD_ITEM49,ORD_ID49,P_ID17,7
ORD_ITEM50,ORD_ID50,P_ID50,1
ORD_ITEM51,ORD_ID51,P_ID07,2
ORD_ITEM52,ORD_ID52,P_ID39,9
ORD_ITEM53,ORD_ID53,P_ID25,3
ORD_ITEM54,ORD_ID54,P_ID13,5
ORD_ITEM55,ORD_ID55,P_ID10,6
ORD_ITEM56,ORD_ID56,P_ID48,10
ORD_ITEM57,ORD_ID57,P_ID41,3
ORD_ITEM58,ORD_ID58,P_ID31,7
ORD_ITEM59,ORD_ID59,P_ID11,4
