order_id,customer_id,order_date,payment_mode,order_status
ORD_ID01,cust_id30,2025-01-01,UPI,Cancelled
ORD_ID02,cust_id14,2025-01-01,Credit card,Pending
ORD_ID03,cust_id35,2025-01-02,Debit Card,Delivered
ORD_ID04,cust_id50,2025-01-02,Debit Card,Delivered
ORD_ID05,cust_id23,2025-01-03,Debit Card,Cancelled
ORD_ID06,cust_id04,2025-01-04,Cash,Delivered
ORD_ID07,cust_id34,2025-01-04,Cash,Delivered
ORD_ID08,cust_id01,2025-01-04,Cash,Shipped
ORD_ID09,cust_id47,2025-01-04,Debit Card,Delivered
ORD_ID10,cust_id44,2025-01-05,Credit card,Delivered
ORD_ID11,cust_id05,2025-01-05,UPI,Delivered
ORD_ID12,cust_id27,2025-01-06,Debit Card,Confirmed
ORD_ID13,cust_id28,2025-01-06,UPI,Delivered
ORD_ID14,cust_id27,2025-01-06,Credit card,Delivered
ORD_ID15,cust_id11,2025-01-06,Debit Card,Confirmed
ORD_ID16,cust_id23,2025-01-07,Debit Card,Delivered
ORD_ID17,cust_id42,2025-01-07,Debit Card,Delivered
ORD_ID18,cust_id26,2025-01-08,UPI,Shipped
ORD_ID19,cust_id17,2025-01-09,Debit Card,Confirmed
ORD_ID20,cust_id12,2025-01-09,Cash,Confirmed
ORD_ID21,cust_id10,2025-01-09,Debit Card,Delivered
ORD_ID22,cust_id50,2025-01-09,Credit card,Confirmed
ORD_ID23,cust_id36,2025-01-09,UPI,Delivered
ORD_ID24,cust_id48,2025-01-10,UPI,Delivered
ORD_ID25,cust_id42,2025-01-10,UPI,Delivered
ORD_ID26,cust_id02,2025-01-10,Cash,Delivered
ORD_ID27,cust_id35,2025-01-10,UPI,Shipped
ORD_ID28,cust_id02,2025-01-11,Debit Card,Delivered
ORD_ID29,cust_id36,2025-01-11,UPI,Delivered
ORD_ID30,cust_id34,2025-01-12,UPI,Delivered
ORD_ID31,cust_id30,2025-01-12,Debit Card,Cancelled
ORD_ID32,cust_id38,2025-01-13,Credit card,Delivered
ORD_ID33,cust_id34,2025-01-13,Debit Card,Pending
ORD_ID34,cust_id49,2025-01-14,UPI,Cancelled
ORD_ID35,cust_id41,2025-01-14,UPI,Confirmed
ORD_ID36,cust_id10,2025-01-14,Debit Card,Shipped
ORD_ID37,cust_id46,2025-01-14,UPI,Confirmed
ORD_ID38,cust_id46,2025-01-14,UPI,Delivered
ORD_ID39,cust_id17,2025-01-14,Debit Card,Cancelled
ORD_ID40,cust_id18,2025-01-14,Cash,Cancelled
ORD_ID41,cust_id11,2025-01-14,UPI,Delivered
ORD_ID42,cust_id25,2025-01-16,UPI,Shipped
ORD_ID43,cust_id21,2025-01-16,Cash,Shipped
ORD_ID44,cust_id39,2025-01-16,Debit Card,Delivered
ORD_ID45,cust_id17,2025-01-17,Cash,Pending
ORD_ID46,cust_id33,2025-01-17,Debit Card,Returned
ORD_ID47,cust_id13,2025-01-17,Credit card,Shipped
ORD_ID48,cust_id21,2025-01-18,Credit card,Delivered
ORD_ID49,cust_id10,2025-01-19,Credit card,Pending
ORD_ID50,cust_id30,2025-01-19,Debit Card,Delivered
ORD_ID51,cust_id06,2025-01-20,Debit Card,Returned
ORD_ID52,cust_id10,2025-01-20,UPI,Delivered
ORD_ID53,cust_id16,2025-01-21,UPI,Confirmed
ORD_ID54,cust_id21,2025-01-21,Debit Card,Delivered
ORD_ID55,cust_id38,2025-01-22,Cash,Cancelled
ORD_ID56,cust_id12,2025-01-23,Credit card,Pending
ORD_ID57,cust_id30,2025-01-23,Credit card,Delivered
ORD_ID58,cust_id04,2025-01-24,Credit card,Pending
ORD_ID59,cust_id36,2025-01-24,Credit card,Delivered
ORD_ID60,cust_id45,2025-01-24,Credit card,Delivered
ORD_ID61,cust_id37,2025-01-24,Debit Card,Delivered
ORD_ID62,cust_id26,2025-01-24,Credit card,Delivered
ORD_ID63,cust_id28,2025-01-25,Debit Card,Delivered
